Alfa romeo,Bilmerke,,,,,,
Brera,,,,,,,
3.0 TDI (2008-....),176kW,240hk,212kW,289hk,500Nm,600Nm,
 , , , , , , ,
S4& RS4,,,,,,,
"S4 2,7t 265hk",195kW,265hk,227kW,309hk,400Nm,480Nm,
"RS4 2,7t 380hk",280kW,380hk,313kW,426hk,484Nm,570Nm,
 , , , , , , ,
A5 / S5,,,,,,,
1.8 TFSI,125kW,170hk,154kW,210hk,250Nm,310Nm,
2.0 TFSI Turbo (2008-....),132kW,180hk,158kW,215hk,320Nm,385Nm,
2.0 TFSI Turbo (2008-....),155kW,211hk,191kW,260hk,350Nm,425Nm,
2.0 TDI DPF (08-..),125kW,170hk,150kW,205hk,350Nm,420Nm,
2.7 TDI DPF (08-..),120kW,163hk,171kW,233hk,400Nm,465Nm,
2.7 TDI DPF (08-..),140kW,190hk,165kW,225hk,400Nm,480Nm,
3.0 TDI,176kW,240hk,212kW,289hk,500Nm,600Nm,
 , , , , , , ,
A6 / Allroad,,,,,,,
"1,8 bensin (97-99)",92kW,125hk,101kW,137hk,163Nm,183Nm,
1.8 Turbo,110kW,150hk,140kW,195hk,210Nm,265Nm,
1.8 Turbo,110kW,150hk,140kW,195hk,210Nm,265Nm,
1.8 Turbo,132kW,180hk,155kW,210hk,235Nm,295Nm,
1.8 Turbo,132kW,180hk,155kW,210hk,235Nm,295Nm,
2,96kW,130hk,105kW,143hk,195Nm,215Nm,
2.0 TFSI,125kW,170hk,154kW,210hk,280Nm,370Nm,
2.0 TFSI Turbo (2008-....),155kW,211hk,191kW,260hk,350Nm,425Nm,
3.2 FSI,188kW,255hk,202kW,275hk,320Nm,350Nm,
"2,4 bensin (97-99)",120kW,163hk,132kW,179hk,230Nm,255Nm,
"2,4 bensin (99-04)",120kW,163hk,132kW,179hk,230Nm,255Nm,
"2,4 bensin (04-..)",130kW,177hk,146kW,198hk,230Nm,255Nm,
2.7 Turbo automat,169kW,230hk,200kW,274hk,310Nm,386Nm,
2.7 Turbo manuell,169kW,230hk,200kW,274hk,310Nm,386Nm,
2.7 Turbo automat,184kW,250hk,215kW,294hk,350Nm,470Nm,
2.7 Turbo manuell,184kW,250hk,215kW,294hk,350Nm,470Nm,
2.8 V6 30V (97-99.),142kW,193hk,153kW,208hk,280Nm,314Nm,
2.8 V6 30V (99-04),142kW,193hk,153kW,208hk,280Nm,314Nm,
3.0 V6 30V (01-04),162kW,220hk,176kW,240hk,300Nm,330Nm,
3.7 V8 40V (99-04),191kW,260hk,206kW,280hk,350Nm,380Nm,
4.2 V8 40V (99-04),220kW,300hk,235kW,320hk,400Nm,430Nm,
1.9 TDI før 2001,66kW,90hk,85kW,120hk,210Nm,251Nm,
1.9 TDI etter 2001,66kW,90hk,87kW,118hk,202Nm,265Nm,
1.9 TDI før 2001,81kW,110hk,106kW,148hk,235Nm,288Nm,
1.9 TDI etter 2001,81kW,110hk,106kW,148hk,235Nm,288Nm,
1.9 TDI,85kW,115hk,110kW,150hk,285Nm,355Nm,
1.9 TDI,96kW,130hk,121kW,165hk,285Nm,360Nm,
1.9 TDI,110kW,150hk,140kW,195hk,210Nm,265Nm,
2.0 TDI (04-..),103kW,140hk,136kW,185hk,320Nm,410Nm,
2.0 TDI,125kW,170hk,150kW,205hk,350Nm,420Nm,
2.5 TDI (R5)(94-97),85kW,115hk,110kW,150hk,265Nm,325Nm,
2.5 TDI (R5)(95-98),103kW,140hk,128kW,170hk,290Nm,350Nm,
2.5 TDI V6 (før 2001) manuell,110kW,150hk,140kW,190hk,310Nm,395Nm,
2.5 TDI V6 (01-04) manuell,110kW,150hk,140kW,190hk,310Nm,395Nm,
2.5 TDI V6 (01-04) manuell,114kW,155hk,140kW,190hk,310Nm,395Nm,
2.5 TDI V6 (98-04) manuell,120kW,163hk,152kW,207hk,325Nm,395Nm,
2.5 TDI V6 (98-04) manuell,132kW,180hk,154kW,225hk,335Nm,395Nm,
2.7 TDI V6 (04-..),132kW,180hk,160kW,218hk,380Nm,451Nm,
2.7 TDI DPF,140kW,190hk,165kW,225hk,400Nm,480Nm,
3.0 TDI V6 (04-..),155kW,211hk,198kW,270hk,450Nm,560Nm,
3.0 TDI V6 (04-..),162kW,225hk,198kW,270hk,450Nm,550Nm,
3.0 TDI V6 (04-..),171kW,233hk,209kW,284hk,450Nm,560Nm,
3.0 TDI (2008-....),176kW,240hk,212kW,289hk,500Nm,600Nm,
 , , , , , , ,
S6 & RS6,,,,,,,
S6 2.3 T C4,169kW,230hk,199kW,270hk,350Nm,400Nm,
S6 4.2,250kW,340hk,261kW,355hk,410Nm,425Nm,
